datetime,open,high,low,close,volume
2025-02-10 12:00:00,1.03199,1.0322,1.03081,1.03136,8331
2025-02-10 13:00:00,1.03138,1.03265,1.03138,1.03215,8387
2025-02-10 14:00:00,1.03215,1.03236,1.0303,1.03112,9882
2025-02-10 15:00:00,1.03112,1.032,1.031,1.0315,9581
2025-02-10 16:00:00,1.03152,1.03181,1.0303,1.03115,8917
2025-02-10 17:00:00,1.03116,1.0315,1.0306,1.03121,6646
2025-02-10 18:00:00,1.03119,1.0317,1.0304,1.03069,5989
2025-02-10 19:00:00,1.03072,1.0311,1.0304,1.03063,5031
2025-02-10 20:00:00,1.03067,1.0309,1.0303,1.03067,4622
2025-02-10 21:00:00,1.03062,1.03083,1.0303,1.03065,2938
2025-02-10 22:00:00,1.03065,1.031,1.03013,1.03032,923
2025-02-10 23:00:00,1.03048,1.0308,1.0297,1.03003,1858
2025-02-11 00:00:00,1.03002,1.0308,1.0298,1.03045,1810
2025-02-11 01:00:00,1.03042,1.0305,1.0299,1.03017,2899
2025-02-11 02:00:00,1.03016,1.0303,1.029,1.02931,6694
2025-02-11 03:00:00,1.0293,1.0302,1.029,1.02979,5430
2025-02-11 04:00:00,1.02981,1.03044,1.0296,1.03039,5158
2025-02-11 05:00:00,1.03038,1.0307,1.0301,1.03043,5399
2025-02-11 06:00:00,1.03046,1.0311,1.0302,1.03052,5767
2025-02-11 07:00:00,1.03051,1.0308,1.03,1.0303,7178
2025-02-11 08:00:00,1.03032,1.03198,1.02994,1.03184,8365
2025-02-11 09:00:00,1.03183,1.0323,1.0311,1.03179,8258
2025-02-11 10:00:00,1.03179,1.0326,1.0313,1.03158,7484
2025-02-11 11:00:00,1.03158,1.0323,1.0314,1.0322,5808
2025-02-11 12:00:00,1.03214,1.0329,1.032,1.03221,7348
2025-02-11 13:00:00,1.03221,1.03261,1.0315,1.03216,8199
2025-02-11 14:00:00,1.03221,1.0337,1.03213,1.03325,9625
2025-02-11 15:00:00,1.0331,1.03433,1.0327,1.034,11301
2025-02-11 16:00:00,1.0339,1.03512,1.0338,1.03457,9724
2025-02-11 17:00:00,1.03451,1.03488,1.0342,1.03451,7066
2025-02-11 18:00:00,1.03448,1.0352,1.0343,1.03454,6348
2025-02-11 19:00:00,1.03454,1.03816,1.034,1.03581,7675
2025-02-11 20:00:00,1.0358,1.0368,1.0356,1.03629,7790
2025-02-11 21:00:00,1.03617,1.0365,1.0358,1.0361,3727
2025-02-11 22:00:00,1.0361,1.0366,1.0356,1.03585,822
2025-02-11 23:00:00,1.03589,1.03672,1.03586,1.0363,1262
2025-02-12 00:00:00,1.03626,1.03632,1.0355,1.0357,1623
